"","Tijdstempel","Student","Geslacht","Leeftijd","Woonsituatie","Opleiding","Postcode","Waardering","Menselijk","Aangenaam","Persoonlijk","Non.Verbale.Comm","Betrokkenheid","Recensies","Populariteit","Bedrijf"
"191","1-5-2018 20:33:05","Ja","Man","19","Thuiswonend","VWO",6901,6,6,6,6,7,6,7,7,"IKEA"
"192","2-5-2018 13:24:21","Ja","Vrouw","20","Thuiswonend","MBO",6942,6,6,7,6,8,6,8,8,"IKEA"
"193","2-5-2018 13:46:52","Ja","Man","18","Thuiswonend","HAVO",7001,7,7,7,6,8,6,7,7,"IKEA"
"194","2-5-2018 19:31:31","Ja","Vrouw","17 of jonger","Thuiswonend","HAVO",7327,8,5,7,5,8,6,7,7,"IKEA"
"195","2-5-2018 20:22:00","Ja","Man","23+","Uitwonend","MBO",7101,8,9,7,9,8,7,8,7,"IKEA"
"196","3-5-2018 10:31:22","Ja","Vrouw","17 of jonger","Thuiswonend","VMBO",6942,7,6,6,6,8,6,8,8,"IKEA"
"197","6-5-2018 16:01:27","Ja","Man","21","Thuiswonend","HAVO",6869,7,7,8,6,9,8,7,8,"IKEA"
"198","6-5-2018 16:01:59","Ja","Man","22","Uitwonend","MBO",6865,7,8,7,9,9,8,7,7,"IKEA"
"199","6-5-2018 16:03:15","Ja","Ik zie mijzelf niet als man of vrouw","17 of jonger","Uitwonend","VMBO",7004,5,5,6,5,7,6,7,6,"IKEA"
"200","6-5-2018 16:11:36","Ja","Man","23+","Uitwonend","HBO",7002,7,6,8,5,8,7,8,6,"IKEA"
"201","6-5-2018 16:12:53","Ja","Man","19","Thuiswonend","VWO",6867,6,5,6,8,6,6,7,6,"IKEA"
"202","6-5-2018 16:53:12","Ja","Vrouw","21","Thuiswonend","MBO",7001,7,6,7,7,8,6,8,8,"IKEA"
"203","6-5-2018 16:56:07","Ja","Vrouw","19","Thuiswonend","VWO",7021,8,8,8,8,8,8,8,8,"IKEA"
